user-id,top_categories,most_played_publisher,most_played_platform,average_spending,favorite_tags
148761419,"Multi-player, Co-op, Steam Trading Cards",Rockstar Games,windows,12.495,"Free to Play, MOBA, Strategy, Action, Multiplayer"
211544205,"Steam Trading Cards, Steam Achievements, Steam Workshop",Valve,windows;mac;linux,7.743333333,"Free to Play, FPS, Multiplayer, Survival, Simulation"
45974860,"Steam Achievements, Single-player, Steam Trading Cards",Valve,windows;mac;linux,16.5225,"Action, Multiplayer, Simulation, RPG, FPS"
277768228,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
199121928,"Multi-player, Cross-Platform Multiplayer, VR Support",Double Action Factory,windows;linux,0,"Action, Multiplayer, Free to Play"
185078775,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
95542056,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
243536793,"Multi-player, In-App Purchases, Co-op",RETO MOTO,windows,0,"Free to Play, MOBA, Strategy, Multiplayer, World War II"
14417857,"Single-player, Steam Achievements, Steam Cloud",Valve,windows;mac;linux,6.844210526,"Action, FPS, Sci-fi, Co-op, Fantasy"
83198547,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
162024985,"Single-player, Steam Achievements, Partial Controller Support",Bethesda Softworks,windows,7.99,"RPG, Open World, Post-apocalyptic"
150623264,"Multi-player, Co-op, Valve Anti-Cheat enabled",Activision;Aspyr Mac,windows;mac,9.995,"Free to Play, MOBA, Strategy, Action, FPS"
294888042,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
135545063,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
80386506,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
143177422,"Single-player, Multi-player, Co-op",Valve,windows;mac;linux,7.19,"FPS, Zombies, Co-op"
289075484,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
82212295,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy, FPS, Multiplayer"
144736928,"Steam Achievements, Steam Trading Cards, Steam Workshop",Smartly Dressed Games,windows;mac;linux,0,"Free to Play, Zombies, Survival, FPS, Multiplayer"
111044780,"Steam Trading Cards, Steam Workshop, Multi-player",Valve,windows;mac;linux,4.436,"Multiplayer, Free to Play, FPS, MOBA, Strategy"
271013192,"Steam Achievements, Multi-player, In-App Purchases",Facepunch Studios,windows;mac,21.39,"Multiplayer, Survival, Crafting, First-Person, Atmospheric"
239306186,"Multi-player, Online Multi-Player, Steam Achievements",Warchest Ltd.,windows,0,"FPS, Multiplayer, Free to Play"
296254406,"Steam Trading Cards, Steam Workshop, In-App Purchases",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy, FPS, Multiplayer"
141027992,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
156669447,"Multi-player, Steam Trading Cards, Steam Workshop",Valve,windows;mac;linux,0,"Free to Play, FPS, Multiplayer, MOBA, Strategy"
207647609,"Co-op, In-App Purchases, Multi-player",Gaijin Entertainment,windows;mac;linux,0,"Free to Play, MOBA, Strategy, Multiplayer, World War II"
66950079,"Steam Achievements, Single-player, Multi-player",Valve,windows,11.77478261,"Multiplayer, Action, Open World, Simulation, FPS"
53181165,"Multi-player, Valve Anti-Cheat enabled, Online Multi-Player",Valve,windows;mac;linux,6.123333333,"FPS, Multiplayer, Action, World War II"
92788681,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
297340487,"Steam Trading Cards, Co-op, Single-player",Digital Extremes,windows,0,"Free to Play, Multiplayer, Anime, Nudity, RPG"
206904972,"Multi-player, Steam Achievements, Full controller support",Valve,windows;mac;linux,0,"FPS, Multiplayer, Shooter"
83572990,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
239296422,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
85366890,"Single-player, Steam Achievements, Steam Cloud",Valve,windows,12.02961538,"Action, Adventure, FPS, Co-op, RPG"
142971534,"Co-op, Steam Trading Cards, Steam Workshop",Runic Games,windows;mac;linux,4.996666667,"Free to Play, Multiplayer, Open World, MOBA, Strategy"
182422786,"Valve Anti-Cheat enabled, Steam Achievements, Steam Trading Cards",Valve,windows;mac;linux,2.836,"Zombies, Free to Play, Survival, FPS, Multiplayer"
211315837,"Steam Trading Cards, Multi-player, Co-op",FireFly Studios,windows,0,"Free to Play, Strategy, MOBA, Medieval, Multiplayer"
105736077,"Multi-player, Single-player, Captions available",Bohemia Interactive,windows,10.99142857,"Action, Multiplayer, Open World, FPS, Simulation"
244069576,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
105877396,"Single-player, Steam Achievements, Steam Trading Cards",Paradox Interactive,windows;mac;linux,8.49826087,"Strategy, Indie, Free to Play, FPS, Simulation"
212302055,"Multi-player, Steam Achievements, Full controller support",Valve,windows;mac;linux,0,"FPS, Multiplayer, Shooter"
163140792,"Single-player, Partial Controller Support, Multi-player",Bohemia Interactive,windows,15.5525,"Simulation, Open World, Flight, Driving, Action"
98649241,"Steam Trading Cards, Steam Achievements, Multi-player",Valve,windows;mac;linux,4.8355,"Free to Play, FPS, Multiplayer, Action, Co-op"
185914106,"Multi-player, Steam Achievements, Steam Trading Cards",Creability,windows;mac;linux,0,"Free to Play, Multiplayer, FPS, Action, Zombies"
204793925,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
296439514,"Multi-player, Steam Achievements, Steam Trading Cards",Blue Manchu,windows;linux,2.496666667,"FPS, Multiplayer, Shooter, Action, Co-op"
161140815,"Multi-player, Steam Trading Cards, Valve Anti-Cheat enabled",Valve,windows;mac;linux,5.558,"Free to Play, FPS, Multiplayer, MOBA, Strategy"
287812798,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
162319690,"Multi-player, Co-op, Steam Trading Cards","Masangsoft, Inc.",windows,0,"Free to Play, MOBA, Strategy, Action, Multiplayer"
254331891,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
171541210,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
604988,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
127850470,"Single-player, Steam Achievements, Multi-player",2K;Aspyr Mac;Aspyr Linux,windows,9.121904762,"Strategy, Free to Play, Multiplayer, RPG, Action"
